Filepath	Size
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00128.hgr1.bam	2634032
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00139.hgr1.bam	7258373
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00234.hgr1.bam	3879715
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00253.hgr1.bam	6352307
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00337.hgr1.bam	3116469
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00353.hgr1.bam	3000825
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00358.hgr1.bam	3890458
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00362.hgr1.bam	7872664
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00478.hgr1.bam	2631644
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00536.hgr1.bam	2288651
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00557.hgr1.bam	2602128
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00717.hgr1.bam	3832723
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00734.hgr1.bam	7106397
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00740.hgr1.bam	10202872
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00851.hgr1.bam	3932302
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00978.hgr1.bam	2989680
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG00982.hgr1.bam	2712893
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01066.hgr1.bam	12534972
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01125.hgr1.bam	16805656
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01176.hgr1.bam	35391029
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01277.hgr1.bam	4563503
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01348.hgr1.bam	4846487
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01464.hgr1.bam	45331524
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01589.hgr1.bam	2227296
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01620.hgr1.bam	3023259
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01626.hgr1.bam	3254781
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG01630.hgr1.bam	1913215
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02035.hgr1.bam	10616661
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02040.hgr1.bam	9102529
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02046.hgr1.bam	6793486
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02078.hgr1.bam	22782363
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02090.hgr1.bam	3505124
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02190.hgr1.bam	6167191
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02219.hgr1.bam	5325496
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02272.hgr1.bam	5363000
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02277.hgr1.bam	2591132
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02283.hgr1.bam	7338657
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02286.hgr1.bam	2019757
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02343.hgr1.bam	3066123
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02479.hgr1.bam	4779653
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02508.hgr1.bam	4896295
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02780.hgr1.bam	3685573
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02839.hgr1.bam	4032768
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02888.hgr1.bam	3945694
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02891.hgr1.bam	3353732
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG02946.hgr1.bam	5203852
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03019.hgr1.bam	2913447
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03195.hgr1.bam	4408981
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03240.hgr1.bam	4183804
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03268.hgr1.bam	3579645
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03295.hgr1.bam	6161288
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03432.hgr1.bam	5349754
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03470.hgr1.bam	5785146
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03548.hgr1.bam	2718815
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03558.hgr1.bam	3425709
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03604.hgr1.bam	4546852
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03607.hgr1.bam	4829546
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03616.hgr1.bam	26919264
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03624.hgr1.bam	4442698
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03720.hgr1.bam	2716703
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03753.hgr1.bam	6587321
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03790.hgr1.bam	5038790
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03836.hgr1.bam	3431851
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03856.hgr1.bam	3682832
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03861.hgr1.bam	4167424
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03867.hgr1.bam	1860461
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG03890.hgr1.bam	4782730
http://crownproject.s3.amazonaws.com/1kg_hgr1/HG04162.hgr1.bam	5009684
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA06985.hgr1.bam	9245571
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA11881.hgr1.bam	14094310
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA12234.hgr1.bam	4749947
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA12283.hgr1.bam	5216487
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA12878_pp.hgr1.bam	132319548
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA12891_pp.hgr1.bam	103565994
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA12892_pp.hgr1.bam	154066377
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA18533.hgr1.bam	9572760
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA18622.hgr1.bam	5121931
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA18632.hgr1.bam	5901106
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA18647.hgr1.bam	2964013
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA18981.hgr1.bam	10264700
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19001.hgr1.bam	2859322
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19006.hgr1.bam	5256168
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19042.hgr1.bam	5455368
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19091.hgr1.bam	3508807
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19098.hgr1.bam	5260743
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19144.hgr1.bam	3462056
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19153.hgr1.bam	3959516
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19159.hgr1.bam	4567709
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19240.hgr1.bam	3793404
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19320.hgr1.bam	4104004
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19351.hgr1.bam	7329538
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19475.hgr1.bam	5100296
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19658.hgr1.bam	9874567
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19670.hgr1.bam	7608622
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19734.hgr1.bam	3528515
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19795.hgr1.bam	2883867
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA19984.hgr1.bam	3620122
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20357.hgr1.bam	7730785
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20359.hgr1.bam	7792307
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20503.hgr1.bam	6992066
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20514.hgr1.bam	8435734
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20827.hgr1.bam	6083765
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA20832.hgr1.bam	4700397
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA21109.hgr1.bam	2698543
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA21112.hgr1.bam	3476826
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA21113.hgr1.bam	2302564
http://crownproject.s3.amazonaws.com/1kg_hgr1/NA21125.hgr1.bam	26126016
