# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	512
0	2.803738	1
0	4.672897	2
0	6.542056	1
0	8.411215	1
0	10.280374	1
0	12.149533	2
0	14.018692	4
0	15.887850	2
0	17.757009	3
0	19.626168	4
0	21.495327	2
0	24.299065	2
0	27.102804	7
0	28.971963	2
0	30.841121	10
0	32.710280	2
0	34.579439	3
0	36.448598	2
0	38.317757	5
0	40.186916	5
0	42.056075	3
0	43.925234	5
0	45.794393	1
0	47.663551	613
0	49.532710	13
0	51.401869	26
0	53.271028	16
0	55.140187	19
0	57.009346	8
0	58.878505	5
0	60.747664	24
0	62.616822	20
0	65.420561	4
0	67.289720	7
0	69.158879	7
0	71.028037	26
0	84.112150	1
0	85.981308	1
0	96.261682	72
