# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	115
0	2.803738	1
0	4.672897	2
0	6.542056	6
0	8.411215	2
0	10.280374	5
0	12.149533	1
0	15.887850	1
0	17.757009	1
0	19.626168	2
0	21.495327	5
0	24.299065	1
0	27.102804	2
0	28.971963	5
0	30.841121	1
0	38.317757	3
0	40.186916	3
0	42.056075	1
0	43.925234	4
0	45.794393	2
0	47.663551	130
0	49.532710	5
0	51.401869	3
0	53.271028	4
0	55.140187	2
0	57.009346	3
0	60.747664	5
0	62.616822	3
0	67.289720	2
0	71.028037	2
0	73.831776	1
0	80.373832	1
0	88.785047	1
0	96.261682	6
