# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	390
0	5.000000	2
0	9.000000	1
0	11.000000	2
0	17.000000	2
0	19.000000	1
0	21.000000	4
0	27.000000	1
0	28.000000	3
0	31.000000	5
0	33.000000	2
0	35.000000	3
0	37.000000	1
0	39.000000	1
0	40.000000	2
0	41.000000	1
0	42.000000	1
0	43.000000	1
0	44.000000	379
0	49.000000	2
0	52.000000	1
0	53.000000	2
0	54.000000	4
0	55.000000	3
0	56.000000	4
0	57.000000	8
0	59.000000	5
0	61.000000	3
0	63.000000	9
0	66.000000	9
0	69.000000	19
0	74.000000	2
0	91.000000	35
