# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
2	0.000000	0.000000
3	0.000000	0.000000
4	0.000000	0.000000
5	0.000000	0.000000
6	0.000000	0.000000
7	0.000000	0.000000
8	0.000000	0.000000
9	0.000000	0.000000
10	0.000000	0.000000
11	0.000000	0.000000
12	0.000000	0.000000
13	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
16	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
19	0.000000	0.000000
20	0.000000	0.000000
21	0.000000	0.000000
22	0.000000	0.000000
23	0.000000	0.000000
24	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
27	0.000000	0.000000
28	0.000000	0.000000
29	0.000000	0.000000
30	0.000000	0.000000
31	0.000000	0.000000
32	0.000000	0.000000
33	0.000000	0.000000
34	0.000000	0.000000
35	0.000000	0.000000
36	0.000000	0.000000
37	0.000000	0.000000
38	0.000000	0.000000
39	0.000000	0.000000
40	0.000000	0.000000
41	0.000000	0.000000
42	0.000000	0.000000
43	0.000000	0.000000
44	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
47	0.000000	0.000000
48	0.000000	0.000000
49	0.000000	0.000000
50	0.000000	0.000000
51	0.000000	0.000000
52	0.000000	0.000000
53	0.000000	0.000000
54	0.000000	0.000000
55	0.000000	0.000000
56	0.000000	0.000000
58	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
61	0.000000	0.000000
62	0.000000	0.000000
63	0.000000	0.000000
64	0.000000	0.000000
65	0.000000	0.000000
66	0.000000	0.000000
67	0.000000	0.000000
68	0.000000	0.000000
69	0.000000	0.000000
70	0.000000	0.000000
72	0.000000	0.000000
74	0.000000	0.000000
75	0.000000	0.000000
76	0.000000	0.000000
77	0.000000	0.000000
78	0.000000	0.000000
79	0.000000	0.000000
80	0.000000	0.000000
81	0.000000	0.000000
82	0.000000	0.000000
83	0.000000	0.000000
84	0.000000	0.000000
85	0.000000	0.000000
86	0.000000	0.000000
87	0.000000	0.000000
90	0.000000	0.000000
91	0.000000	0.000000
92	0.000000	0.000000
93	0.000000	0.000000
95	0.000000	0.000000
97	0.000000	0.000000
98	0.000000	0.000000
99	0.000000	0.000000
100	0.000000	0.000000
102	0.000000	0.000000
103	0.000000	0.000000
104	0.000000	0.000000
105	0.000000	0.000000
106	0.000000	0.000000
107	0.000000	0.000000
108	0.000000	0.000000
109	0.000000	0.000000
110	0.000000	0.000000
112	0.000000	0.000000
114	0.000000	0.000000
115	0.000000	0.000000
116	0.000000	0.000000
118	0.000000	0.000000
119	0.000000	0.000000
120	0.000000	0.000000
122	0.000000	0.000000
124	0.000000	0.000000
125	0.000000	0.000000
128	0.000000	0.000000
131	0.000000	0.000000
132	0.000000	0.000000
134	0.000000	0.000000
136	0.000000	0.000000
137	0.000000	0.000000
138	0.000000	0.000000
139	0.000000	0.000000
140	0.000000	0.000000
141	0.000000	0.000000
142	0.000000	0.000000
145	0.000000	0.000000
149	0.000000	0.000000
151	0.000000	0.000000
153	0.000000	0.000000
156	0.000000	0.000000
157	0.000000	0.000000
159	0.000000	0.000000
162	0.000000	0.000000
165	0.000000	0.000000
167	0.000000	0.000000
168	0.000000	0.000000
170	0.000000	0.000000
172	0.000000	0.000000
175	0.000000	0.000000
178	0.000000	0.000000
181	0.000000	0.000000
185	0.000000	0.000000
186	0.000000	0.000000
188	0.000000	0.000000
190	0.000000	0.000000
191	0.000000	0.000000
194	0.000000	0.000000
196	0.000000	0.000000
197	0.000000	0.000000
200	0.000000	0.000000
202	0.000000	0.000000
204	0.000000	0.000000
205	0.000000	0.000000
206	0.000000	0.000000
208	0.000000	0.000000
211	0.000000	0.000000
212	0.000000	0.000000
213	0.000000	0.000000
214	0.000000	0.000000
216	0.000000	0.000000
217	0.000000	0.000000
218	0.000000	0.000000
226	0.000000	0.000000
229	0.000000	0.000000
231	0.000000	0.000000
232	0.000000	0.000000
233	0.000000	0.000000
234	0.000000	0.000000
237	0.000000	0.000000
239	0.000000	0.000000
241	0.000000	0.000000
242	0.000000	0.000000
244	0.000000	0.000000
246	0.000000	0.000000
248	0.000000	0.000000
252	0.000000	0.000000
253	0.000000	0.000000
256	0.000000	0.000000
259	0.000000	0.000000
260	0.000000	0.000000
261	0.000000	0.000000
264	0.000000	0.000000
267	0.000000	0.000000
269	0.000000	0.000000
271	0.000000	0.000000
276	0.000000	0.000000
278	0.000000	0.000000
282	0.000000	0.000000
283	0.000000	0.000000
288	0.000000	0.000000
290	0.000000	0.000000
293	0.000000	0.000000
301	0.000000	0.000000
303	0.000000	0.000000
306	0.000000	0.000000
307	0.000000	0.000000
309	0.000000	0.000000
310	0.000000	0.000000
311	0.000000	0.000000
316	0.000000	0.000000
321	0.000000	0.000000
322	0.000000	0.000000
326	0.000000	0.000000
327	0.000000	0.000000
328	0.000000	0.000000
333	0.000000	0.000000
334	0.000000	0.000000
337	0.000000	0.000000
338	0.000000	0.000000
343	0.000000	0.000000
344	0.000000	0.000000
348	0.000000	0.000000
349	0.000000	0.000000
351	0.000000	0.000000
352	0.000000	0.000000
353	0.000000	0.000000
356	0.000000	0.000000
358	0.000000	0.000000
361	0.000000	0.000000
362	0.000000	0.000000
363	0.000000	0.000000
365	0.000000	0.000000
366	0.000000	0.000000
368	0.000000	0.000000
370	0.000000	0.000000
372	0.000000	0.000000
381	0.000000	0.000000
382	0.000000	0.000000
383	0.000000	0.000000
384	0.000000	0.000000
385	0.000000	0.000000
386	0.000000	0.000000
388	0.000000	0.000000
394	0.000000	0.000000
396	0.000000	0.000000
397	0.000000	0.000000
398	0.000000	0.000000
413	0.000000	0.000000
420	0.000000	0.000000
430	0.000000	0.000000
432	0.000000	0.000000
437	0.000000	0.000000
440	0.000000	0.000000
441	0.000000	0.000000
443	0.000000	0.000000
448	0.000000	0.000000
468	0.000000	0.000000
474	0.000000	0.000000
476	0.000000	0.000000
477	0.000000	0.000000
479	0.000000	0.000000
480	0.000000	0.000000
485	0.000000	0.000000
498	0.000000	0.000000
500	0.000000	0.000000
