Assay_Type	AvgSpotLen	BioSample	DATASTORE_provider	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	cell_line	disease	disease_stage	ethnicity	sex	tissue	AssemblyName	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_region	InsertSize	Organism	Platform	ReleaseDate	SRA_Study	isolate	sample_type
RNA-Seq	202	SAMN10987900	ncbi	SRX5414819	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-MDAMB361_BREAST	23/02/2019	6309	2995	SRR8615581	SRS4395783	MDAMB361_BREAST	40	ATCC:MDA-MB-361	MDA-MB-361	carcinoma	metastasis	Caucasian	female	breast	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	198	SAMN10988492	ncbi	SRX5417216	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-VMCUB1_URINARY_TRACT	25/02/2019	7611	3561	SRR8618300	SRS4397856	VMCUB1_URINARY_TRACT	NA	DSMZ:VM-CUB1	VM-CUB1	carcinoma (transitional_cell_carcinoma)	primary	Caucasian	male	urinary_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987695	ncbi	SRX5415156	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TUHR4TKB_KIDNEY	23/02/2019	8271	3904	SRR8615894	SRS4396053	TUHR4TKB_KIDNEY	NA	RIKEN:TUHR4TKB	TUHR4TKB	carcinoma	primary	Asian	NA	kidney	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987771	ncbi	SRX5414836	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-SW1463_LARGE_INTESTINE	23/02/2019	8366	3960	SRR8615564	SRS4395256	SW1463_LARGE_INTESTINE	66	ATCC:SW1463	SW1463	carcinoma (adenocarcinoma)	primary	Caucasian	female	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	198	SAMN10988451	ncbi	SRX5414768	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23/02/2019	8806	4084	SRR8615632	SRS4395750	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13	DSMZ:DND-41	DND-41	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988446	ncbi	SRX5414567	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-TE125T_FIBROBLAST	23/02/2019	8705	4094	SRR8615833	SRS4395587	TE125T_FIBROBLAST	1	ATCC:TE 125.T	TE 125.T	rhabdomyosarcoma	primary	Caucasian	female	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	198	SAMN10987726	ncbi	SRX5417208	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-YD15_SALIVARY_GLAND	25/02/2019	8866	4169	SRR8618308	SRS4397848	YD15_SALIVARY_GLAND	39	KCLB:YD-15	YD-15	carcinoma (mucoepidermoid_carcinoma)	primary	Asian	male	salivary_gland	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10988367	ncbi	SRX5417202	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-WM2664_SKIN	25/02/2019	9028	4226	SRR8618314	SRS4397842	WM2664_SKIN	58	ATCC:WM-266-4	WM-266-4	malignant_melanoma	metastasis	Caucasian	female	skin	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	198	SAMN10988077	ncbi	SRX5417205	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-YD38_UPPER_AERODIGESTIVE_TRACT	25/02/2019	9060	4287	SRR8618311	SRS4397845	YD38_UPPER_AERODIGESTIVE_TRACT	67	KCLB:YD-38	YD-38	carcinoma (squamous_cell_carcinoma)	primary	Asian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
RNA-Seq	202	SAMN10987935	ncbi	SRX5417203	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	RNASeq-YH13_CENTRAL_NERVOUS_SYSTEM	25/02/2019	9115	4321	SRR8618313	SRS4397843	YH13_CENTRAL_NERVOUS_SYSTEM	40	HSSRB	YH-13	glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)	primary	Asian	male	central_nervous_system	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
