pV	pVAF	mean_iVAF	sd_iVAF	mean_noZero_iVAF	sd_noZero_iVAF	intraVAR	colr
chr13_10114	63	0.759036144578313	0.0866785344516691	0.0809902756232522	0.114195529515691	0.0740430134739088	0	black
chr13_10143	23	0.242105263157895	0.0121812604514865	0.0539768748642037	0.0503139018648356	0.102189983141437	0	black
chr13_10154	33	0.317307692307692	0.0197672365709315	0.042109460243908	0.0610987312192429	0.0547034358855598	0	black
chr13_10181	37	0.345794392523364	0.016674894567026	0.0318101146007361	0.0482219923965347	0.037628621902076	0	black
chr13_10186	60	0.560747663551402	0.0264216348298277	0.035159773324232	0.0471185821131928	0.0350606195084318	0	black
chr13_10211	40	0.373831775700935	0.0277461523190541	0.0750223726955802	0.0742209574534698	0.108442303876905	0	black
chr13_10285	39	0.364485981308411	0.00579622534069834	0.0145177028282604	0.0159024643962749	0.0205663890017603	0	black
chr13_10743	78	0.735849056603774	0.150321995563213	0.174025242447973	0.204283737560264	0.173582157328625	0	black
chr13_10756	96	0.905660377358491	0.0924375970124414	0.0761578284798708	0.102066513367904	0.0736030409668625	0	black
chr13_10770	51	0.481132075471698	0.0274679119877396	0.0555728020214032	0.0570901700137332	0.0689966936862819	0	black
chr13_10820	42	0.428571428571429	0.0318446429963022	0.0633687935106799	0.0743041669913717	0.0791736229715615	0	black
chr13_10825	79	0.849462365591398	0.228249882786076	0.196018109029505	0.268699229102596	0.185233642087118	0	black
chr13_10845	43	0.48314606741573	0.0147618521364003	0.023217170253364	0.0305536009334796	0.025207698898878	0	black
chr13_10851	18	0.206896551724138	0.0238619068875907	0.111321680004515	0.115332549956689	0.226983369247267	0	black
chr13_10862	36	0.423529411764706	0.0508296012486733	0.0963475087807727	0.12001433628159	0.117211043317523	0	black
chr13_10864	12	0.141176470588235	0.00772683510257341	0.041032431399237	0.0547317486432283	0.100252201278908	0	black
chr13_10900	20	0.224719101123595	0.033595498126719	0.0994418266789943	0.149499966663899	0.166013519258673	0	black
chr13_10905	51	0.548387096774194	0.14329684295114	0.295493196805981	0.261306007734432	0.359456017086581	0	black
chr13_10944	47	0.439252336448598	0.0729281088282011	0.105667268077485	0.166027822225905	0.0996804544843671	0	black
chr13_10948	27	0.252336448598131	0.00698676852653141	0.0153504575915722	0.0276883049014393	0.0191163763238377	0	black
chr13_10963	90	0.841121495327103	0.0922505202838103	0.203101176499995	0.109675618559641	0.217248099203603	0	black
chr13_10965	90	0.841121495327103	0.0880740229275005	0.193857443620845	0.104710227258251	0.207358367234913	0	black
chr13_10966	90	0.841121495327103	0.0865341602524263	0.189713742174604	0.10287950163344	0.202892958135618	0	black
chr13_10972	73	0.688679245283019	0.042477984894883	0.0699864725673728	0.0616803616281863	0.0770857449586021	0	black
chr13_10973	92	0.85981308411215	0.0824440965684801	0.180612165566502	0.0958860688350801	0.191558712096511	0	black
chr13_10985	91	0.850467289719626	0.0670040071391022	0.15137084596456	0.0787849314712521	0.161394258505849	0	black
chr13_10990	87	0.820754716981132	0.0628354810112158	0.145943422229965	0.0765581722665388	0.15793157333662	0	black
chr13_10995	87	0.813084112149533	0.0543293340474951	0.127810546468941	0.066818836127379	0.138889379448492	0	black
chr13_10997	17	0.158878504672897	0.00419083137312027	0.0245367768595766	0.0263775857014041	0.0580240796696673	0	black
chr13_10998	36	0.336448598130841	0.0107510123383529	0.03120548851948	0.0319543977834379	0.0474580884550134	0	black
chr13_10999	86	0.803738317757009	0.0538633979331063	0.127159988634365	0.0670160881260741	0.13882618199115	0	black
chr13_11006	78	0.735849056603774	0.039244425267703	0.112807421229499	0.0533321676714938	0.128809497529756	0	black
